LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
Hounslow 021E,E01002666,1865,102,107,131,73,183,332,437,281,136,56,27
Hounslow 022A,E01002555,2068,92,108,157,99,133,328,485,368,189,81,28
Hounslow 022B,E01002556,1855,146,117,149,65,133,245,443,329,107,85,36
Hounslow 022C,E01002590,2665,201,196,215,104,123,445,607,388,243,95,48
Hounslow 022D,E01002592,2152,164,126,179,80,103,343,506,356,157,110,28
Hounslow 022E,E01002595,2260,119,180,206,107,156,384,443,426,143,75,21
Hounslow 023A,E01002557,2077,101,151,215,75,102,345,486,365,126,74,37
Hounslow 023B,E01002558,2197,157,145,195,117,126,312,516,388,137,85,19
Hounslow 023C,E01002559,2575,198,184,210,125,157,415,608,460,138,63,17
Hounslow 023D,E01002560,2010,108,149,157,86,138,305,415,343,152,92,65
Hounslow 023E,E01002561,1710,159,114,206,79,97,243,452,273,69,13,5
Hounslow 024A,E01002591,1903,104,100,177,99,137,264,425,376,130,68,23
Hounslow 024B,E01002593,2261,100,135,151,93,138,358,492,422,174,136,62
Hounslow 024C,E01002594,2315,157,126,186,105,120,373,534,429,157,94,34
Hounslow 024D,E01002611,2029,108,120,149,158,117,283,475,369,149,77,24
Hounslow 024E,E01002612,2102,131,134,163,74,118,350,518,346,144,87,37
Hounslow 024F,E01002613,1926,94,101,186,117,128,267,455,360,111,66,41
Hounslow 025B,E01002598,1927,117,128,168,80,123,282,461,381,126,41,20
Hounslow 025C,E01002599,1577,87,104,150,82,84,247,349,312,91,55,16
Hounslow 025D,E01002600,1656,77,111,149,105,126,233,359,318,122,45,11
Hounslow 025E,E01002603,1948,117,125,199,101,142,250,488,388,92,36,10
Hounslow 025F,E01033000,1751,105,149,203,105,107,222,443,277,86,41,13
Hounslow 025G,E01033030,1851,200,185,109,36,60,426,647,150,25,9,4
Hounslow 026A,E01002604,1636,113,133,177,89,121,237,350,286,81,34,15
Hounslow 026B,E01002605,2356,220,176,212,100,124,392,539,338,141,85,29
Hounslow 026C,E01002606,1689,89,126,171,95,121,216,358,308,132,60,13
Hounslow 026D,E01002607,2447,184,166,200,119,127,329,678,418,141,68,17
Hounslow 026E,E01002615,1624,84,116,158,80,89,232,360,307,118,59,21
Hounslow 027A,E01002596,2142,151,150,168,201,222,305,504,362,52,20,7
Hounslow 027B,E01002601,1874,133,165,149,85,118,264,510,316,81,38,15
Hounslow 027C,E01002602,1493,76,109,125,60,84,162,371,321,87,64,34
Hounslow 027D,E01002614,2122,174,182,157,61,96,331,587,299,154,64,17
Hounslow 027E,E01002616,1631,84,106,141,89,80,211,404,278,138,65,35
Hounslow 028A,E01002608,1899,117,147,184,97,117,243,456,321,133,61,23
Hounslow 028B,E01002609,1821,104,134,149,69,92,209,424,357,174,71,38
Hounslow 028C,E01002610,1760,119,141,184,80,92,213,408,306,116,72,29
Hounslow 028D,E01002617,1635,110,109,103,51,81,206,395,316,161,79,24
Hounslow 029A,E01002687,1672,111,111,86,52,74,295,469,276,103,71,24
Hounslow 029B,E01002691,1628,51,50,91,91,201,298,351,281,111,67,36
Hounslow 029C,E01002692,2104,120,103,121,52,149,496,544,297,121,69,32
Hounslow 029D,E01002693,1795,92,94,79,52,98,294,403,276,188,130,89
Hounslow 029E,E01032573,1805,83,63,82,52,93,390,460,343,135,76,28
Hounslow 030D,E01002562,1483,79,99,129,80,108,197,324,284,103,64,16
Hounslow 030A,E01034042,1256,143,77,75,33,100,297,292,168,48,20,3
Hounslow 030B,E01034043,1435,91,100,113,42,96,306,370,211,57,37,12
Hounslow 030C,E01034044,1231,90,68,61,32,66,255,341,196,74,42,6
Hounslow 031E,E01002564,1897,94,132,175,80,127,226,475,376,127,57,28
Hounslow 031D,E01033081,1596,98,85,101,47,62,290,473,285,107,42,6
Hounslow 031C,E01033082,1261,80,69,61,35,39,161,313,223,166,84,30
Hounslow 031A,E01034045,1794,146,91,87,77,84,487,596,175,30,18,3
Hounslow 031B,E01034046,1952,109,153,202,99,115,260,408,369,125,94,18
Islington 001A,E01002755,1318,82,79,78,48,70,265,291,251,93,45,16
Islington 001B,E01002756,1317,77,67,67,34,77,268,336,258,88,33,12
Islington 001C,E01002758,1736,109,123,159,88,106,350,390,278,83,39,11
Islington 001D,E01002804,1537,91,65,104,64,134,335,347,248,94,44,11
Islington 001E,E01002807,1708,89,87,96,68,168,417,390,257,74,44,18
Islington 001F,E01002811,1745,98,100,150,71,112,333,390,318,109,51,13
Islington 002A,E01002753,1447,60,57,86,49,137,327,302,240,114,58,17
Islington 002B,E01002754,1552,85,100,102,57,120,305,341,277,98,52,15
Islington 002C,E01002757,1449,88,94,121,63,83,259,304,272,96,51,18
Islington 002D,E01002759,1506,58,56,103,55,118,273,318,286,105,93,41
Islington 002E,E01002760,1739,116,116,140,80,137,365,365,261,98,50,11
Islington 002F,E01002772,1886,74,60,91,51,185,585,391,279,98,52,20
Islington 003A,E01002735,2955,117,125,121,278,343,946,517,339,91,36,42
Islington 003B,E01002805,1435,62,41,47,19,101,501,349,205,68,32,10
Islington 003C,E01002806,1646,112,84,79,43,100,435,357,272,93,52,19
Islington 003D,E01002808,1911,126,93,78,45,180,524,399,283,112,53,18
Islington 003E,E01002809,1698,75,85,99,44,144,425,389,264,129,34,10
Islington 003F,E01002810,1749,87,75,101,46,112,450,421,303,94,46,14
Islington 004A,E01002768,1612,69,64,84,31,104,388,364,298,105,83,22
Islington 004B,E01002770,1844,78,65,71,46,160,565,415,249,92,62,41
Islington 004C,E01002771,1546,60,73,100,51,166,327,347,268,102,40,12
Islington 004D,E01002773,1645,106,99,161,83,114,265,348,277,86,86,20
Islington 004E,E01002774,2140,103,88,103,51,145,488,566,405,111,62,18
Islington 005A,E01002732,1805,80,79,118,64,167,395,368,356,103,61,14
Islington 005B,E01002734,2366,140,137,197,136,268,566,500,308,58,36,20
Islington 005C,E01002736,1477,99,98,101,72,117,257,304,197,117,71,44
Islington 005D,E01002737,1945,117,123,158,95,162,439,391,287,101,51,21
Islington 005E,E01002751,1838,167,104,100,45,116,486,399,271,94,45,11
Islington 006A,E01002742,1998,91,101,164,115,174,506,422,257,107,46,15
Islington 006B,E01002747,1557,100,79,101,43,108,339,359,259,86,44,39
Islington 006C,E01002748,1654,89,101,125,60,96,393,400,274,77,28,11
Islington 006D,E01002749,1524,109,92,125,71,73,333,374,215,80,42,10
Islington 006F,E01033493,1314,71,24,19,12,42,564,422,111,24,19,6
Islington 006G,E01033494,1535,79,76,101,48,64,375,363,283,91,44,11
Islington 007A,E01002730,1754,74,53,55,52,227,550,352,247,82,47,15
Islington 007C,E01002733,1443,59,72,71,26,107,441,354,197,74,31,11
Islington 007D,E01002763,1303,56,59,57,42,171,294,266,211,73,47,27
Islington 007E,E01035651,1574,100,81,98,52,125,507,353,168,41,39,10
Islington 007F,E01035652,1281,44,44,27,26,161,459,296,144,41,31,8
Islington 008A,E01002769,1856,83,91,132,150,169,353,349,295,155,63,16
Islington 008B,E01002785,1859,82,78,114,78,132,395,403,360,121,75,21
Islington 008C,E01002788,1822,90,69,74,43,88,539,423,304,100,66,26
Islington 008D,E01002789,1848,70,86,130,55,78,411,402,351,161,82,22
Islington 009A,E01002738,1872,91,75,109,69,111,425,439,338,126,70,19
Islington 009B,E01002741,1534,84,112,103,67,105,326,341,251,84,31,30
Islington 009C,E01002743,1525,90,85,105,54,56,393,360,199,92,65,26
Islington 009D,E01002744,1314,65,37,45,29,47,402,293,238,94,45,19
Islington 009E,E01002752,1621,70,66,88,69,107,465,356,251,88,42,19
Islington 010A,E01002764,1817,87,107,112,75,196,450,327,275,107,54,27
Islington 010B,E01002783,1702,75,96,102,61,171,379,341,285,140,40,12
Islington 010C,E01002784,1755,76,104,127,80,152,341,394,283,117,61,20
Islington 010D,E01002786,1941,102,107,119,77,171,440,444,307,107,45,22
Islington 010E,E01002787,1471,79,71,80,62,132,425,310,218,58,30,6
Islington 011C,E01002762,1872,70,41,60,46,218,607,354,284,107,66,19
Islington 011D,E01002767,2155,96,87,90,126,203,600,384,333,137,63,36
Islington 011E,E01033486,1032,43,62,57,55,130,254,203,161,46,15,6
Islington 011F,E01033487,1197,62,36,39,23,96,524,327,76,11,3,0
Islington 011G,E01033488,1644,62,65,62,82,300,445,345,184,57,32,10
Islington 011H,E01033491,1932,92,65,66,46,171,682,396,286,75,43,10
Islington 011J,E01035653,1423,88,43,29,18,74,627,432,96,14,2,0
Islington 011K,E01035654,1163,88,106,97,39,48,304,336,92,28,18,7
Islington 012A,E01002777,1677,85,82,55,47,87,496,388,267,108,51,11
Islington 012B,E01002778,1939,102,134,159,136,165,416,394,290,83,35,25
Islington 012C,E01002779,1752,95,71,85,59,188,505,384,250,71,32,12
Islington 012D,E01002781,1740,70,85,101,57,87,478,436,291,83,39,13
Islington 012E,E01002782,1433,69,88,144,95,113,275,300,247,43,47,12
Islington 013A,E01002739,1837,93,84,138,47,88,490,382,290,125,70,30
Islington 013B,E01002740,2258,203,91,98,58,122,605,584,291,141,47,18
Islington 013C,E01002745,1413,66,49,58,37,73,387,306,274,92,52,19
Islington 013D,E01002795,1936,92,98,93,65,196,530,432,270,94,49,17
Islington 013E,E01002796,1109,42,50,62,30,65,312,184,236,76,39,13
Islington 014A,E01002716,2264,112,117,140,99,164,538,455,394,137,68,40
Islington 014B,E01002718,1577,65,48,71,30,70,477,344,326,87,43,16
Islington 014C,E01002721,1632,118,65,59,35,71,451,427,240,105,40,21
Islington 014D,E01002775,1409,71,53,50,27,94,456,359,199,55,35,10
Islington 014E,E01002776,1858,114,95,99,65,93,528,406,292,94,51,21
Islington 014F,E01002780,1698,70,57,85,44,90,485,364,351,88,49,15
Islington 015A,E01002708,2116,102,97,125,76,192,602,465,295,82,60,20
Islington 015B,E01002712,1378,91,80,65,33,136,374,291,190,57,50,11
Islington 015C,E01002713,2815,171,128,106,99,388,694,563,376,159,93,38
Islington 015D,E01002765,2858,91,126,180,290,404,634,566,383,100,57,27
Islington 015E,E01002766,2179,94,154,146,89,231,447,458,355,136,45,24
Islington 016A,E01002717,1206,69,66,73,31,71,261,304,190,72,55,14
Islington 016B,E01002719,1491,93,67,84,36,61,355,334,241,121,66,33
Islington 016C,E01002720,2124,132,145,183,96,129,474,438,354,91,62,20
Islington 016D,E01002790,1408,87,67,93,55,111,253,254,309,93,57,29
Islington 016E,E01002791,1859,113,99,84,47,128,523,429,244,116,51,25
Islington 016F,E01002793,1845,82,74,94,73,125,533,376,313,112,51,12
Islington 017A,E01002698,2041,109,70,99,58,90,685,438,336,96,49,11
Islington 017B,E01002699,1484,57,56,77,34,88,387,333,252,126,59,15
Islington 017C,E01002700,1376,82,56,71,48,65,268,291,249,142,85,19
Islington 017D,E01002714,1541,85,62,55,49,123,441,305,263,105,44,9
Islington 017E,E01002792,1849,90,79,86,42,118,584,386,277,117,59,11
Islington 018A,E01002722,1444,133,54,53,49,73,332,367,249,73,42,19
Islington 018B,E01002797,1824,83,72,87,67,125,570,368,278,102,45,27
Islington 018C,E01002798,1979,145,88,81,55,82,444,499,379,128,59,19
Islington 018D,E01002799,1910,123,104,122,88,172,434,380,315,92,63,17
Islington 018E,E01002800,1766,127,52,97,102,122,526,303,293,85,45,14
Islington 019A,E01002694,1665,73,106,145,70,201,325,313,261,104,49,18
Islington 019B,E01002697,1969,79,81,127,83,254,464,363,334,98,61,25
Islington 019C,E01002709,1688,61,72,87,73,233,382,311,257,119,59,34
Islington 019D,E01002710,1600,76,80,97,103,191,335,293,254,108,45,18
Islington 019E,E01002715,1690,124,107,141,85,167,351,331,264,65,42,13
Islington 020A,E01002696,1747,76,43,54,47,138,559,352,259,125,82,12
Islington 020B,E01002794,2040,92,59,59,40,149,749,383,317,114,57,21
Islington 020C,E01002801,1461,59,42,54,19,84,447,294,276,107,53,26
Islington 020D,E01002802,1851,98,77,100,64,163,518,366,274,104,54,33
Islington 020F,E01035655,1727,98,83,83,51,126,473,320,309,118,47,19
Islington 020G,E01035656,1483,93,54,59,148,137,492,362,102,22,9,5
Islington 021A,E01002695,1473,53,47,32,26,137,471,347,191,77,56,36
Islington 021B,E01002711,2032,71,62,65,137,344,494,369,316,127,37,10
Islington 021C,E01002727,1511,62,43,54,39,106,426,337,282,108,38,16
Islington 021D,E01002728,1315,51,48,41,228,210,305,181,164,55,23,9
Islington 021E,E01002729,1501,57,46,76,46,136,319,284,319,124,64,30
Islington 022B,E01002707,1817,92,65,72,69,202,560,342,252,75,63,25
Islington 022C,E01002723,1639,92,76,95,141,179,358,301,261,73,42,21
Islington 022D,E01002724,1923,57,44,57,152,256,538,385,293,88,40,13
Islington 022E,E01002725,1358,80,85,91,117,117,278,266,219,54,37,14
Islington 022F,E01002726,1711,157,67,60,51,169,449,343,259,99,37,20
Islington 022G,E01033489,1463,58,25,17,60,301,451,283,197,38,27,6
Islington 022H,E01033490,1399,50,45,51,128,230,362,248,146,83,31,25
Islington 023A,E01002701,1468,55,57,88,55,152,354,287,224,110,63,23
Islington 023B,E01002702,2470,146,139,144,159,305,610,529,312,79,29,18
Islington 023C,E01002703,2338,135,121,131,76,254,639,501,281,139,41,20
Islington 023D,E01002704,2355,114,113,105,171,259,566,497,337,105,64,24
Islington 023E,E01002706,2041,95,122,129,103,228,459,399,300,114,57,35
Kensington and Chelsea 001A,E01002852,2213,98,86,151,149,375,350,434,361,105,74,30
Kensington and Chelsea 001B,E01002853,1429,48,40,80,91,205,287,256,260,89,53,20
Kensington and Chelsea 001C,E01002854,1103,45,50,97,47,89,173,204,239,91,55,13
Kensington and Chelsea 001D,E01002855,1593,71,65,91,53,96,250,403,312,177,55,20
Kensington and Chelsea 001E,E01002857,1377,40,82,92,71,85,282,295,276,87,45,22
Kensington and Chelsea 002A,E01002904,1296,65,79,99,77,94,214,221,297,99,40,11
Kensington and Chelsea 002B,E01002905,1673,93,85,92,128,91,267,355,346,118,80,18
Kensington and Chelsea 002C,E01002906,1753,70,90,107,84,108,288,371,348,140,93,54
Kensington and Chelsea 002D,E01002907,1287,100,89,120,111,74,150,248,234,86,58,17
Kensington and Chelsea 003A,E01002876,1831,133,141,101,67,82,266,338,348,190,97,68
Kensington and Chelsea 003B,E01002877,2187,160,111,167,161,182,366,373,468,125,61,13
Kensington and Chelsea 003C,E01002878,1446,46,47,60,64,103,277,314,328,128,61,18
Kensington and Chelsea 003D,E01002908,1394,84,69,80,71,87,215,283,298,129,63,15
Kensington and Chelsea 003E,E01002909,2137,91,120,100,54,114,418,485,490,165,80,20
Kensington and Chelsea 004A,E01002829,1393,46,53,50,38,85,306,304,285,131,80,15
Kensington and Chelsea 004B,E01002830,1723,63,45,97,45,76,348,428,344,168,99,10
Kensington and Chelsea 004C,E01002831,1721,67,67,81,65,122,309,376,401,127,91,15
Kensington and Chelsea 004D,E01002832,1632,64,70,89,60,115,337,361,308,130,73,25
Kensington and Chelsea 004E,E01002856,1432,43,56,60,46,101,324,305,328,119,42,8
Kensington and Chelsea 005A,E01002870,1594,43,68,100,69,153,299,270,355,138,73,26
Kensington and Chelsea 005B,E01002872,1347,62,74,78,48,76,149,234,328,152,105,41
Kensington and Chelsea 005C,E01002879,1946,80,101,181,103,170,284,382,381,121,126,17
Kensington and Chelsea 005D,E01002880,1145,54,70,82,51,159,161,188,242,68,44,26
Kensington and Chelsea 005E,E01002881,1362,58,77,113,82,96,223,268,285,107,38,15
Kensington and Chelsea 006A,E01002882,1046,44,52,73,37,51,173,217,209,94,66,30
Kensington and Chelsea 006B,E01002883,1475,79,71,69,43,94,299,317,261,103,73,66
Kensington and Chelsea 006C,E01002884,1385,42,29,35,82,135,354,256,253,100,61,38
Kensington and Chelsea 006D,E01002885,1318,52,39,34,34,105,378,331,218,61,57,9
Kensington and Chelsea 006E,E01002886,1320,74,64,62,13,74,252,298,266,127,70,20
Kensington and Chelsea 007A,E01002833,1209,62,40,50,32,95,271,261,243,92,48,15
Kensington and Chelsea 007B,E01002871,1468,79,72,88,47,65,213,399,299,113,78,15
Kensington and Chelsea 007C,E01002873,1362,36,51,64,53,55,230,302,355,111,85,20
Kensington and Chelsea 007D,E01002874,1135,50,55,61,37,106,190,236,273,71,42,14
Kensington and Chelsea 007E,E01002875,1260,51,65,76,32,55,229,253,278,111,89,21
Kensington and Chelsea 008A,E01002824,1227,50,45,67,54,89,147,302,270,118,67,18
Kensington and Chelsea 008B,E01002825,1785,94,134,121,103,140,193,379,359,129,95,38
Kensington and Chelsea 008C,E01002826,1256,65,54,72,31,81,211,319,223,96,73,31
Kensington and Chelsea 008D,E01002827,1717,88,100,100,51,150,281,421,311,121,72,22
Kensington and Chelsea 008E,E01002828,1190,46,65,74,34,47,197,267,253,115,70,22
Kensington and Chelsea 009A,E01002864,1480,73,86,154,81,108,147,280,330,99,84,38
Kensington and Chelsea 009B,E01002866,1830,70,63,90,103,127,319,452,425,84,79,18
Kensington and Chelsea 009C,E01002867,1674,56,52,74,63,127,327,412,348,116,73,26
Kensington and Chelsea 009D,E01002868,1354,109,91,92,40,53,137,361,242,108,90,31
Kensington and Chelsea 009E,E01002869,1740,65,118,180,55,116,249,413,344,109,70,21
Kensington and Chelsea 010A,E01002887,1043,45,30,43,34,114,250,250,165,62,38,12
Kensington and Chelsea 010B,E01002889,1562,42,42,75,24,225,348,228,441,77,45,15
Kensington and Chelsea 010C,E01002890,1398,69,86,137,67,53,133,303,294,136,93,27
Kensington and Chelsea 010D,E01002891,1184,36,40,64,48,100,232,223,285,88,50,18
Kensington and Chelsea 010E,E01002892,1293,57,56,81,41,158,223,329,199,97,43,9
Kensington and Chelsea 011A,E01002813,1482,72,55,97,46,96,230,321,320,141,72,32
Kensington and Chelsea 011B,E01002815,1160,44,35,29,24,135,216,303,196,103,56,19
Kensington and Chelsea 011C,E01002816,1059,53,52,62,33,78,191,260,199,69,37,25
Kensington and Chelsea 011D,E01002817,1346,58,68,71,49,84,235,264,259,148,84,26
Kensington and Chelsea 011E,E01002865,1448,56,84,101,58,121,124,332,401,95,53,23
Kensington and Chelsea 012A,E01002818,1385,57,47,50,35,241,217,238,336,82,57,25
Kensington and Chelsea 012B,E01002819,1091,48,48,52,39,64,182,283,241,67,51,16
Kensington and Chelsea 012C,E01002859,1250,36,46,60,44,102,230,279,270,99,58,26
Kensington and Chelsea 012D,E01002860,1144,50,67,71,30,71,208,238,234,93,60,22
Kensington and Chelsea 012E,E01002863,1117,54,58,41,37,55,125,304,244,98,65,36
Kensington and Chelsea 013A,E01002812,1502,70,62,55,47,155,265,385,309,89,52,13
Kensington and Chelsea 013B,E01002834,1242,62,68,64,43,90,215,331,222,86,45,16
Kensington and Chelsea 013C,E01002839,1540,38,30,51,49,182,408,347,286,90,42,17
Kensington and Chelsea 013D,E01002850,1407,43,61,54,35,242,328,284,247,64,39,10
Kensington and Chelsea 013E,E01002888,1563,47,53,54,73,323,332,330,217,73,51,10
Kensington and Chelsea 014A,E01002821,1080,43,34,37,33,114,212,207,248,81,61,10
Kensington and Chelsea 014B,E01002823,1223,30,53,80,59,105,138,228,300,125,71,34
Kensington and Chelsea 014C,E01002858,1323,94,28,53,42,115,292,230,248,121,70,30
Kensington and Chelsea 014D,E01002861,1258,39,79,111,54,50,184,255,302,100,59,25
Kensington and Chelsea 014E,E01002862,1092,19,20,27,27,138,196,215,237,115,65,33
Kensington and Chelsea 015A,E01002814,2230,109,136,137,96,217,379,504,394,153,80,25
Kensington and Chelsea 015B,E01002847,1393,46,37,62,26,195,352,310,239,66,48,12
Kensington and Chelsea 015C,E01002848,1251,54,33,44,38,122,317,281,227,93,35,7
Kensington and Chelsea 015D,E01002851,1338,39,23,45,37,173,276,261,229,139,95,21
Kensington and Chelsea 016C,E01002835,1408,63,63,75,35,178,293,336,228,66,49,22
Kensington and Chelsea 016D,E01002836,1309,56,59,60,55,93,283,287,264,102,41,9
Kensington and Chelsea 016E,E01002837,1046,51,39,72,34,78,188,227,212,76,38,31
Kensington and Chelsea 016F,E01035713,1999,100,83,101,61,221,375,401,384,145,96,32
Kensington and Chelsea 017A,E01002846,1288,30,25,35,37,281,314,253,189,79,40,5
Kensington and Chelsea 017B,E01002849,1540,151,54,52,58,141,306,327,272,119,49,11
Kensington and Chelsea 017C,E01002893,1576,65,58,42,32,190,324,354,307,119,63,22
Kensington and Chelsea 017D,E01002894,1317,55,50,47,66,193,320,267,203,63,44,9
Kensington and Chelsea 017E,E01002898,1668,94,87,86,106,198,147,326,433,94,69,28
Kensington and Chelsea 018A,E01002899,1245,46,56,63,41,91,208,221,270,133,82,34
Kensington and Chelsea 018B,E01002900,1688,44,41,55,34,61,196,337,472,353,79,16
Kensington and Chelsea 018C,E01002901,1042,19,27,37,22,49,111,120,189,153,193,122
Kensington and Chelsea 018D,E01002902,1226,40,48,47,25,80,194,266,270,137,79,40
Kensington and Chelsea 018E,E01002903,1278,54,62,78,55,76,163,200,360,117,87,26
Kensington and Chelsea 019A,E01002844,1149,51,48,41,27,72,177,242,249,135,74,33
Kensington and Chelsea 019B,E01002845,1173,56,51,48,28,109,187,230,269,103,72,20
Kensington and Chelsea 019C,E01002910,1370,69,63,57,79,78,197,279,291,133,91,33
Kensington and Chelsea 019D,E01002911,1285,50,84,76,30,70,203,282,288,125,59,18
Kensington and Chelsea 019E,E01002914,1195,62,58,62,29,91,204,223,236,97,92,41
Kensington and Chelsea 020C,E01002896,1586,68,53,92,93,85,342,391,307,94,45,16
Kensington and Chelsea 020D,E01002897,1494,43,77,47,34,177,391,322,246,92,53,12
Kensington and Chelsea 020E,E01002912,1480,42,49,67,29,151,381,278,221,102,86,74
Kensington and Chelsea 020F,E01035714,2057,81,93,108,75,268,296,419,404,162,116,35
Kensington and Chelsea 021A,E01002840,1046,47,58,62,32,70,128,169,234,131,74,41
Kensington and Chelsea 021B,E01002841,1216,42,52,69,29,79,243,254,271,115,51,11
Kensington and Chelsea 021C,E01002842,1011,44,52,79,67,75,110,191,205,108,64,16
Kensington and Chelsea 021D,E01002843,1295,46,70,80,51,97,173,239,298,140,70,31
Kensington and Chelsea 021E,E01002913,1762,79,87,105,64,124,317,425,369,106,62,24
Kingston upon Thames 001A,E01003006,1525,66,98,149,74,62,98,339,347,154,91,47
Kingston upon Thames 001B,E01003007,1624,66,141,190,78,68,98,383,340,152,70,38
Kingston upon Thames 001C,E01003008,1446,62,134,169,67,54,71,353,307,127,77,25
Kingston upon Thames 001D,E01003009,2059,106,183,241,97,73,150,503,423,159,89,35
Kingston upon Thames 001E,E01003010,1439,60,100,134,80,56,95,314,375,138,58,29
Kingston upon Thames 002A,E01002952,1393,66,68,116,92,55,100,228,331,183,116,38
Kingston upon Thames 002B,E01002953,1333,43,62,110,69,84,145,205,303,151,69,92
Kingston upon Thames 002C,E01002955,1504,53,93,104,82,113,209,290,303,119,79,59
Kingston upon Thames 002D,E01002956,1391,41,78,107,114,113,131,223,267,136,128,53
Kingston upon Thames 002E,E01002959,1391,49,89,144,75,47,84,278,321,170,101,33
Kingston upon Thames 003A,E01002935,1902,132,125,133,52,124,340,515,300,116,50,15
Kingston upon Thames 003B,E01002938,2000,126,172,200,84,54,175,551,370,151,82,35
Kingston upon Thames 003C,E01002951,1501,80,121,153,50,51,177,397,229,130,81,32
Kingston upon Thames 003D,E01002954,1371,86,84,78,39,79,274,306,168,107,92,58
Kingston upon Thames 003E,E01002957,1590,88,95,138,90,181,310,324,217,80,56,11
Kingston upon Thames 004A,E01002933,2035,128,154,196,85,108,276,458,397,127,81,25
Kingston upon Thames 004B,E01002934,1899,146,162,193,91,65,200,515,324,118,64,21
Kingston upon Thames 004D,E01002937,1825,146,154,175,73,64,175,506,367,101,47,17
Kingston upon Thames 004E,E01003011,1693,80,135,144,55,65,146,430,331,161,108,38
Kingston upon Thames 004G,E01033569,1817,99,107,149,74,133,343,499,267,76,58,12
Kingston upon Thames 004H,E01034576,1256,80,70,81,41,71,220,399,172,71,39,12
Kingston upon Thames 004I,E01034577,1374,98,96,98,43,90,343,410,140,32,18,6
Kingston upon Thames 005A,E01002964,2514,123,112,119,220,464,413,480,326,151,79,27
Kingston upon Thames 005B,E01002969,1890,155,146,170,129,232,296,355,258,84,45,20
Kingston upon Thames 005C,E01002971,1800,109,126,148,62,137,265,508,279,105,50,11
Kingston upon Thames 005D,E01002972,2053,158,115,137,63,215,424,520,218,119,60,24
Kingston upon Thames 005E,E01002974,2057,120,141,173,110,207,274,439,336,169,63,25
Kingston upon Thames 006A,E01002932,2045,128,133,168,153,253,286,438,302,106,43,35
Kingston upon Thames 006B,E01002960,1589,81,74,148,74,75,204,320,353,153,79,28
Kingston upon Thames 006C,E01002962,1612,82,95,163,103,94,170,358,311,140,70,26
Kingston upon Thames 006D,E01002970,1811,117,124,135,95,143,324,429,271,116,42,15
Kingston upon Thames 006E,E01002973,1582,85,99,154,120,131,219,354,269,87,47,17
Kingston upon Thames 007A,E01002929,1698,85,97,155,71,65,169,364,369,182,103,38
Kingston upon Thames 007B,E01002930,1968,125,111,138,81,102,322,530,314,147,66,32
Kingston upon Thames 007C,E01002931,2014,135,168,179,77,71,186,545,386,159,71,37
Kingston upon Thames 007D,E01002963,1845,134,111,141,63,86,284,466,324,131,65,40
Kingston upon Thames 007E,E01002985,1722,107,119,153,72,97,188,444,322,125,75,20
Kingston upon Thames 008A,E01002927,1681,89,102,122,78,87,201,394,313,142,106,47
Kingston upon Thames 008B,E01002928,1940,116,131,131,59,97,279,445,376,125,113,68
Kingston upon Thames 008C,E01002958,1740,129,141,138,59,63,170,474,345,137,60,24
Kingston upon Thames 008D,E01002961,1757,94,114,167,93,78,152,392,368,172,93,34
Kingston upon Thames 008E,E01002986,1371,62,86,121,47,68,119,298,266,158,98,48
Kingston upon Thames 009A,E01002965,2519,137,114,104,115,457,434,563,297,173,83,42
Kingston upon Thames 009B,E01002967,1857,116,86,56,38,129,385,539,248,136,90,34
Kingston upon Thames 009C,E01002968,2909,113,100,103,133,607,627,586,383,137,89,31
Kingston upon Thames 009D,E01002990,1709,111,68,43,21,120,439,461,251,116,56,23
Kingston upon Thames 009E,E01002991,1562,92,89,100,42,101,282,405,271,105,52,23
Kingston upon Thames 010A,E01002922,1642,83,96,119,48,86,201,376,301,173,119,40
Kingston upon Thames 010B,E01002926,1604,88,133,150,76,78,151,373,323,116,88,28
Kingston upon Thames 010C,E01002966,1985,138,107,118,79,207,273,535,366,94,48,20
Kingston upon Thames 010D,E01002992,1567,68,64,59,258,334,205,271,181,76,34,17
Kingston upon Thames 011A,E01002921,1727,99,74,53,34,112,460,464,252,111,46,22
Kingston upon Thames 011B,E01002987,1894,84,64,53,32,150,503,519,271,92,82,44
Kingston upon Thames 011C,E01002988,1679,87,51,86,178,268,321,351,198,78,50,11
Kingston upon Thames 011D,E01002989,1900,132,87,89,37,72,477,562,275,108,50,11
Kingston upon Thames 012A,E01002975,1489,66,102,119,71,100,172,300,286,131,107,35
Kingston upon Thames 012B,E01002977,1701,105,118,134,86,88,228,356,327,143,79,37
Kingston upon Thames 012C,E01002980,1405,53,75,91,62,102,112,294,314,170,100,32
Kingston upon Thames 012D,E01002981,1602,60,69,159,93,87,155,320,361,170,97,31
Kingston upon Thames 012E,E01002984,1431,68,83,114,57,68,140,310,291,171,86,43
Kingston upon Thames 013A,E01002923,1671,73,78,79,79,180,332,303,264,157,94,32
Kingston upon Thames 013B,E01002925,1570,87,77,53,41,81,382,427,264,96,41,21
Kingston upon Thames 013C,E01002993,1577,108,77,65,27,55,384,477,210,93,53,28
Kingston upon Thames 013D,E01002995,1600,74,89,98,42,62,234,386,265,135,115,100
