LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000235,Barnet 021E,60,175,260,185,c
E01000236,Barnet 034A,65,165,c,505,c
E01000237,Barnet 032A,120,95,65,525,c
E01000238,Barnet 034B,35,170,210,255,c
E01000239,Barnet 031A,25,200,50,710,c
E01000240,Barnet 031B,50,390,c,220,c
E01000241,Barnet 031C,155,130,c,455,c
E01000242,Barnet 032B,155,120,30,330,c
E01000243,Barnet 032C,30,110,70,740,c
E01000244,Barnet 032D,80,140,90,355,c
E01000245,Barnet 032E,40,40,25,825,c
E01000246,Barnet 002B,175,295,15,190,c
E01000247,Barnet 002C,80,210,155,320,c
E01000248,Barnet 001A,40,165,275,260,c
E01000249,Barnet 001B,180,245,90,110,c
E01000250,Barnet 001C,90,300,105,700,c
E01000251,Barnet 002D,45,165,70,830,c
E01000252,Barnet 002E,90,215,40,465,c
E01000253,Barnet 007B,510,90,50,90,c
E01000254,Barnet 001D,170,140,265,85,c
E01000255,Barnet 017A,80,245,80,275,c
E01000256,Barnet 016A,205,215,75,205,c
E01000257,Barnet 017B,35,85,70,830,c
E01000258,Barnet 016B,125,180,125,395,c
E01000259,Barnet 025D,55,570,140,245,c
E01000260,Barnet 025E,40,330,135,360,c
E01000261,Barnet 017C,180,265,60,200,c
E01000263,Barnet 016C,370,105,25,15,c
E01000264,Barnet 016D,145,140,35,475,c
E01000265,Barnet 011A,25,180,115,500,c
E01000266,Barnet 011B,185,295,20,25,c
E01000267,Barnet 005A,30,395,30,140,c
E01000268,Barnet 005B,65,110,c,800,c
E01000269,Barnet 005C,30,310,135,75,c
E01000270,Barnet 005D,90,210,45,305,c
E01000271,Barnet 008A,180,215,40,205,c
E01000272,Barnet 008B,310,100,c,110,c
E01000273,Barnet 008C,90,115,75,500,c
E01000274,Barnet 011C,35,360,45,275,c
E01000275,Barnet 012A,70,105,150,370,c
E01000276,Barnet 020A,115,385,c,c,c
E01000277,Barnet 012B,30,45,55,680,c
E01000278,Barnet 020B,55,445,c,15,c
E01000279,Barnet 007C,410,80,20,35,c
E01000280,Barnet 007D,240,250,c,30,c
E01000281,Barnet 008D,35,115,245,460,c
E01000282,Barnet 008E,50,355,120,190,c
E01000283,Barnet 012C,180,300,c,c,c
E01000284,Barnet 012D,70,90,100,630,c
E01000285,Barnet 004A,100,180,190,155,c
E01000286,Barnet 007E,25,265,240,150,c
E01000287,Barnet 004B,30,280,160,160,c
E01000288,Barnet 004C,c,395,100,75,c
E01000289,Barnet 004D,20,95,290,160,c
E01000290,Barnet 007F,200,220,65,85,130
E01000291,Barnet 004E,15,180,140,290,c
E01000292,Barnet 001E,105,245,65,270,c
E01000293,Barnet 001F,100,370,60,190,c
E01000294,Barnet 004F,110,215,70,350,c
E01000295,Barnet 023B,20,180,175,305,c
E01000296,Barnet 023C,20,160,50,580,c
E01000297,Barnet 027D,10,80,215,260,c
E01000298,Barnet 023D,20,155,70,545,c
E01000299,Barnet 019A,15,95,185,655,c
E01000300,Barnet 019B,20,165,155,375,c
