Ward code,Ward name,Total population,Under 15 years,15 to 64 years,65 years and older,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure,Total: All dwellings,Total: Occupied dwellings,Unoccupied dwellings,Total: All households,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Single family household,Other household types
E05000568,The Wrythe,11557,2529,7525,1503,105.0,1445.0,1405.0,1715.0,0.0,4660,4490,175.0,4494.0,1143.0,489.0,654.0,3060.0,291.0
E05000569,Wallington North,11959,2540,7701,1718,265.0,1665.0,845.0,2215.0,0.0,4985,4835,150.0,4845.0,1376.0,519.0,857.0,3162.0,307.0
E05000570,Wallington South,11054,2281,6762,2011,560.0,1005.0,590.0,2725.0,0.0,4880,4625,245.0,4651.0,1587.0,771.0,816.0,2773.0,291.0
E05000571,Wandle Valley,14046,3270,9598,1178,210.0,830.0,2475.0,2215.0,0.0,5725,5485,235.0,5492.0,1479.0,414.0,1065.0,3612.0,401.0
E05000572,Worcester Park,12851,2801,8225,1825,360.0,1820.0,1725.0,1270.0,0.0,5165,4995,180.0,4992.0,1216.0,543.0,673.0,3431.0,345.0
E05000590,Cann Hall,14055,2964,9963,1128,215.0,550.0,2415.0,2020.0,0.0,5195,4830,370.0,4840.0,1212.0,365.0,847.0,2750.0,878.0
E05000591,Cathall,12747,2287,9361,1099,255.0,515.0,1960.0,2275.0,0.0,5000,4635,360.0,4635.0,1249.0,365.0,884.0,2550.0,836.0
E05000592,Chapel End,14591,3321,10119,1151,210.0,670.0,2840.0,1705.0,0.0,5440,5225,205.0,5208.0,1192.0,342.0,850.0,3329.0,687.0
E05000593,Chingford Green,10758,1927,6485,2346,290.0,1765.0,955.0,1635.0,0.0,4660,4460,180.0,4470.0,1423.0,777.0,646.0,2748.0,299.0
E05000594,Endlebury,11352,2168,7195,1989,210.0,2225.0,735.0,1295.0,0.0,4460,4295,150.0,4305.0,1117.0,540.0,577.0,2788.0,400.0
E05000595,Forest,13790,2963,9416,1411,240.0,575.0,1940.0,2055.0,0.0,4805,4575,225.0,4590.0,1115.0,328.0,787.0,2690.0,785.0
E05000596,Grove Green,14746,2638,10969,1139,155.0,450.0,2080.0,3080.0,0.0,5785,5485,315.0,5487.0,1276.0,296.0,980.0,3204.0,1007.0
E05000597,Hale End and Highams Park,12831,2741,8651,1439,165.0,1085.0,2015.0,1415.0,0.0,4685,4585,100.0,4594.0,966.0,329.0,637.0,3162.0,466.0
E05000598,Hatch Lane,11661,2285,7532,1844,235.0,1745.0,1200.0,1490.0,0.0,4670,4545,110.0,4551.0,1252.0,549.0,703.0,2936.0,363.0
E05000599,High Street,15179,2888,11090,1201,180.0,320.0,1900.0,3860.0,0.0,6290,5925,365.0,5944.0,1612.0,379.0,1233.0,3468.0,864.0
E05000600,Higham Hill,15493,3556,10788,1149,265.0,865.0,2230.0,2345.0,0.0,5710,5465,260.0,5464.0,1266.0,369.0,897.0,3460.0,738.0
E05000601,Hoe Street,14315,2761,10200,1354,150.0,540.0,1455.0,3915.0,25.0,6115,5810,305.0,5809.0,1782.0,448.0,1334.0,3323.0,704.0
E05000602,Larkswood,13123,2683,8511,1929,190.0,1320.0,2000.0,1635.0,0.0,5135,4955,175.0,4953.0,1370.0,605.0,765.0,3042.0,541.0
E05000603,Lea Bridge,17051,3325,12274,1452,260.0,545.0,1970.0,3675.0,0.0,6450,6020,430.0,6034.0,1560.0,340.0,1220.0,3416.0,1058.0
E05000604,Leyton,15996,3352,11385,1259,220.0,550.0,1670.0,3695.0,0.0,6135,5865,270.0,5880.0,1647.0,393.0,1254.0,3370.0,863.0
E05000605,Leytonstone,12247,2061,8884,1302,150.0,560.0,1480.0,2970.0,0.0,5175,4805,365.0,4811.0,1361.0,324.0,1037.0,2735.0,715.0
E05000606,Markhouse,15488,3211,11066,1211,295.0,505.0,2470.0,2405.0,0.0,5675,5460,215.0,5463.0,1327.0,301.0,1026.0,3225.0,911.0
E05000607,Valley,12701,2646,8328,1727,255.0,1065.0,2050.0,1330.0,0.0,4700,4515,190.0,4515.0,1118.0,504.0,614.0,2823.0,574.0
E05000608,William Morris,15722,3091,11544,1087,190.0,585.0,2155.0,3460.0,0.0,6395,5960,430.0,5964.0,1458.0,332.0,1126.0,3629.0,877.0
E05000609,Wood Street,14550,3382,10004,1164,145.0,720.0,1630.0,3170.0,0.0,5655,5395,260.0,5394.0,1395.0,372.0,1023.0,3388.0,611.0
E05000610,Balham,15357,2433,11539,1385,90.0,645.0,1935.0,4255.0,0.0,6950,6400,555.0,6421.0,1773.0,440.0,1333.0,3358.0,1290.0
E05000611,Bedford,14143,1951,10898,1294,20.0,400.0,1280.0,4955.0,0.0,6720,6175,530.0,6225.0,2018.0,468.0,1550.0,3044.0,1163.0
