ATCOCode,CommonName,NptgLocalityCode,LocalityName,Longitude,Latitude,Status
490015531T,Camden Town Station / Bayham Street,N0060504,Camden Town,-0.14092,51.53867,active
490004760K,London Road / Rees Drive,E0034417,Canons Park,-0.29454,51.62142,active
490011069W,Plumstead Garage,N0075254,Thamesmead West,0.08429,51.49181,active
490002333ZH,Bisterne Avenue,E0034880,Upper Walthamstow,0.00302,51.58918,active
490002334ZT,Oakhill Road Sutton High Street,N0065114,Sutton,-0.19446,51.37127,active
490002335ZT,Margaret Street,N0065187,Oxford Circus,-0.14168,51.51655,active
490001107A,Feltham Station / New Road,E0034535,Feltham,-0.41116,51.44789,active
490000007,West End Lane / Eastcote Road,E0034431,Pinner,-0.38456,51.58821,active
490000008,West End Lane / Eastcote Road,E0034431,Pinner,-0.38437,51.5883,active
490002338HZ,Montpelier Road / St Peters Way,N0060497,Ealing,-0.3039,51.5227,active
490002338HY,Montpelier Road / St Peters Way,N0060497,Ealing,-0.3031,51.52266,active
490002339HY,Helena Road,N0060497,Ealing,-0.3029,51.5236,active
490002339HZ,Helena Road,N0060497,Ealing,-0.3029,51.52382,active
490002340HZ,Helena Road / Mount Avenue,N0060497,Ealing,-0.30253,51.52456,active
490002341HY,Mount Avenue,N0060497,Ealing,-0.30018,51.52498,active
490002341HZ,Mount Avenue,N0060497,Ealing,-0.30002,51.52528,active
490002342HY,Birkdale Road,N0060497,Ealing,-0.29976,51.52768,active
490002342HZ,Birkdale Road,N0060497,Ealing,-0.29965,51.52783,active
490002343HZ,Brunswick Road / Clarendon Road,N0060497,Ealing,-0.29902,51.5297,active
490002344HZ,Brunswick Road / Sandall Road,N0060497,Ealing,-0.29471,51.5289,active
490012489W,Staines Road / Bedfont,E0034533,East Bedfont,-0.42653,51.45338,active
490002346HN,Aldrington Road / North,E0034906,Streatham Park,-0.14007,51.42956,active
490002346HS,Aldrington Road / North,E0034906,Streatham Park,-0.13997,51.42924,active
490002347HE,Ullathorne Road / Colson Way,E0034906,Streatham Park,-0.14127,51.4288,active
490002347HW,Ullathorne Road / Colson Way,E0034906,Streatham Park,-0.14104,51.42873,active
490002348HE,Clairview Road,E0034906,Streatham Park,-0.14604,51.42814,active
490002348HW,Clairview Road,E0034906,Streatham Park,-0.14573,51.42809,active
490002349HE,Furzedown Road,E0034906,Streatham Park,-0.14807,51.42779,active
490002350HE,Church Lane / Furzedown Road,E0034894,Furzedown,-0.15296,51.4275,active
490002350HW,Church Lane / Furzedown Road,E0034894,Furzedown,-0.15344,51.42727,active
490002351HE,Church Lane / Lessingham Avenue,E0034894,Furzedown,-0.15561,51.42666,active
490002351HW,Church Lane / Lessingham Avenue,E0034894,Furzedown,-0.15563,51.42657,active
490002352HE,Church Lane / Eswyn Road,E0034894,Furzedown,-0.15929,51.42562,active
490002352HW,Church Lane / Eswyn Road,E0034894,Furzedown,-0.15964,51.42542,active
490002353HS,Grayshott Road,E0034886,Battersea,-0.15824,51.46759,active
490002354HE,Broomwood Road / Alfriston Road,N0077644,Clapham South,-0.15809,51.45522,active
490002354HW,Broomwood Road / Alfriston Road,N0077644,Clapham South,-0.15783,51.45521,active
490002355HE,Broomwood Road / Hillier Road,N0077644,Clapham South,-0.16317,51.45372,active
